id,problem,answer,solution,source,type,created_at
2590,"Proctors Andy and Kristin have a PUMaC team of eight students labelled $s_{1}, s_{2}, \ldots, s_{8}$ (the PUMaC staff being awful with names). The following occurs:

1. Andy tells the students to arrange themselves in a line in arbitrary order.
2. Kristin tells each student $s_{i}$ to move to the current spot of student $s_{j}$, where $j \equiv 3 i+1 (\bmod 8)$.
3. Andy tells each student $s_{i}$ to move to the current spot of the student who was in the $i$ th position of the line after step 1 .
How many possible orders can the students be in now?",1260,"Consider the permutation $\alpha=(1854)(2367)$ corresponding to the mapping $x \mapsto 3^{-1}(x-1) \equiv 3 x-3$ on $\mathbb{Z} / 8 \mathbb{Z}$. The problem asks for the number of possible permutations $\pi=\beta^{-1} \alpha \beta$ as $\beta$ ranges over $S_{8}$. The operation $\pi(\beta)=\beta^{-1} \alpha \beta$ is called the conjugation of $\alpha$ with respect to $\beta$. The key fact here is that two permutations are conjugate if and only if they have the same cycle structure. Thus, $\pi$ also has two 4 -cycles. There are $\frac{1}{2}\binom{8}{4}=35$ ways to pick the elements of one of the 4 -cycles (the $1 / 2$ since the order of the two 4 -cycles does not matter), and $\frac{4!}{4}=6$ ways to permute each of the two 4-cycles upto cyclic rotation. The answer is $35 \times 6^{2}=1260$.",PUMaC 2012 Combinatorics Div A #8,counting,2025-11-25 01:20:56.054093+00
2591,"For each of the functions $f$ and $g$ below, determine whether $f(n)= O(g(n))$. Justify your answer only for part (d).",,,PUMaC 2016 Power #1,misc,2025-11-25 01:20:56.054093+00
2592,"Show that if $f(n)=O(g(n))$ and $g(n)=O(h(n))$, then $f(n)=O(h(n))$.",,,PUMaC 2016 Power #2,misc,2025-11-25 01:20:56.054093+00
2593,"For each of the functions $f$ and $g$ below, determine whether $f(n)= O(g(n))$. Justify your answer only for part (d).",,,PUMaC 2016 Power #3,misc,2025-11-25 01:20:56.054093+00
2594,"(a) (3 points) Show that if $f(n)$ and $g(n)$ are polynomial in $h(n)$, then $f(n)+g(n)$ is polynomial in $h(n)$.",,,PUMaC 2016 Power #4,misc,2025-11-25 01:20:56.054093+00
2595,"For each of the functions $f$ and $g$ below, determine whether $f(n)= O(g(n))$. Justify your answer only for part (d).
(a) (1 point) $f(n)=2$ and $g(n)=1$.
(b) (1 point) $f(n)=2$ and $g(n)=n$.
(c) (1 point) $f(n)=n$ and $g(n)=2$.
(d) (2 points) $f(n)=n^{3}$ and $g(n)=2^{n}$.

Problem 2.2. (3 points) Show that if $f(n)=O(g(n))$ and $g(n)=O(h(n))$, then $f(n)=O(h(n))$.

[^0]
### 2.2 Polynomial and Negligible Functions

Definition 2.2.1. Given functions $f: \mathbb{N} \rightarrow \mathbb{N}$ and $g: \mathbb{N} \rightarrow \mathbb{N}, f(n)$ is said to be polynomial in $g(n)$ if there exists a positive integer $k$ such that $f(n)=O\left((g(n))^{k}\right)$.

Problem 2.3. (5 points) For each of the functions $f$ and $g$ below, determine whether $f(n)$ is polynomial in $g(n)$. Justify your answer only for part (d).
(a) (1 point) $f(n)=3 n^{2}-3 n+1$ and $g(n)=n$.
(b) (1 point) $f(n)=\lfloor\sqrt{n}\rfloor$ and $g(n)=\lg (n)$.
(c) (1 point) $f(n)=n!$ and $g(n)=n$.
(d) ( 2 points) $f(n)=n^{\lg (n)}$ and $g(n)=n$.

Problem 2.4. (6 points)
(a) (3 points) Show that if $f(n)$ and $g(n)$ are polynomial in $h(n)$, then $f(n)+g(n)$ is polynomial in $h(n)$.
(b) (3 points) Show that if $f(n)$ and $g(n)$ are polynomial in $h(n)$, then $f(n) \cdot g(n)$ is polynomial in $h(n)$.

Definition 2.2.2. A function $f: \mathbb{N} \rightarrow \mathbb{R}$ is negligible if for every positive integer $k$, there exists $N_{k} \in \mathbb{N}$ such that for all $n \geq N_{k}, n^{k}|f(n)|<1$.

Problem 2.5. (5 points) For each of the functions $f$ below, determine whether $f(n)$ is negligible. Justify your answer only in parts (a) and (c).",,,PUMaC 2016 Power #5,misc,2025-11-25 01:20:56.054093+00
2596,"(a) (3 points) Show that if $f(n)$ and $g(n)$ are polynomial in $h(n)$, then $f(n)+g(n)$ is polynomial in $h(n)$.
(b) (3 points) Show that if $f(n)$ and $g(n)$ are polynomial in $h(n)$, then $f(n) \cdot g(n)$ is polynomial in $h(n)$.

Definition 2.2.2. A function $f: \mathbb{N} \rightarrow \mathbb{R}$ is negligible if for every positive integer $k$, there exists $N_{k} \in \mathbb{N}$ such that for all $n \geq N_{k}, n^{k}|f(n)|<1$.

Problem 2.5. (5 points) For each of the functions $f$ below, determine whether $f(n)$ is negligible. Justify yo",,,PUMaC 2016 Power #6,misc,2025-11-25 01:20:56.054093+00
2597,"Show that if $f: \mathbb{N} \rightarrow \mathbb{N}$ is polynomial in $n$ and $g: \mathbb{N} \rightarrow \mathbb{R}$ is negligible, then $f \cdot g$ is negligible.

### 2.",,,PUMaC 2016 Power #7,misc,2025-11-25 01:20:56.054093+00
2598,"(a) ( 3 points) Explain why the algorithm described above, that finds $1+2+\cdots+n$ by adding up the numbers, is not a polynomial-time algorithm by Definition 2.3.1.
(b) ( 2 points) Describe, in words, an algorithm that finds $1+2+\cdots+n$ in polynomial time.",,,PUMaC 2016 Power #8,misc,2025-11-25 01:20:56.054093+00
2599,"You roll two fair dice. For each statement below, indicate whether it is true or false. Justify your answer only for part (b).",,,PUMaC 2016 Power #9,misc,2025-11-25 01:20:56.054093+00
2600,"(a) ( 5 points) Show that if $X_{1}, X_{2}, \ldots, X_{n}$ are independent, then they are pairwise independent.
(b) ( 3 points) Let $w$ be a bit string randomly selected from $\{000,011,101,110\}$. For $1 \leq i \leq 3$, let $X_{i}$ be the random variable equal to the $i$-th bit of $w$. Are $X_{1}, X_{2}$, and $X_{3}$ pairwise independent? Are $X_{1}, X_{2}$, and $X_{3}$ independent? Explain.",,,PUMaC 2016 Power #10,misc,2025-11-25 01:20:56.054093+00
