"problem","answer","solution","source","type","problem_type","reasonable_answer","aime_suitability","aime_answer","difficulty"
"A polynomial $P$ with integer coefficients is called tricky if it has 4 as a root.

A polynomial is called teeny if it has degree at most 1 and integer coefficients between -7 and 7 , inclusive. How many nonzero tricky teeny polynomials are there?","2","If a degree 0 polynomial has 4 as a root, then it must be the constant zero polynomial. Thus, we will only consider polynomials of degree 1 .
If $P$ has degree 1 , integer coefficients, and 4 as a root, then it must be of the form $P(x)=a(x-4)= a x-4 a$ for some nonzero integer $a$. Since all integer coefficients are between -7 and 7 , inclusive, we require $-7 \leq 4 a \leq 7$, which gives us $a=-1,1$. Note that for both values, the coefficient of $x$ is also between -7 and 7 , so there are 2 trick","HMMT November 2019 Guts #1","algebra","numerical","True","3","2","1.0"
"You are trying to cross a 6 foot wide river. You can jump at most 4 feet, but you have one stone you can throw into the river; after it is placed, you may jump to that stone and, if possible, from there to the other side of the river. However, you are not very accurate and the stone ends up landing uniformly at random in the river. What is the probability that you can get across?","$\frac{1}{3}$","To be able to cross, the stone must land between 2 and 4 feet from the river bank you are standing on. Therefore the probab","HMMT November 2019 Guts #2","misc","numerical","True","4","4","2"
"For how many positive integers $a$ does the polynomial

$$
x^{2}-a x+a
$$
have an integer root?","1","Let $r, s$ be the roots of $x^{2}-a x+a=0$. By Vieta's, we have $r+s=r s=a$. Note that if one root is an integer, then both roots must be integers, as they sum to an integer $a$. Then,
$$
r s-(r+s)+1=1 \Longrightarrow(r-1)(s-1)=1 \text {. }
$$

Because we require $r, s$ to be both integers, we have $r-1=s-1= \pm 1$, which yields $r=s=0,2$. If $r=0$ or $s=0$, then $a=0$, but we want $a$ to be a positive integer. Therefore, our only possibility is when $r=s=2$, which yields $a=4$, so there is exactly 1 value of $a$ (namely, $a=4$ ) such that $x^{2}-a x-a$ has an integer root.","HMMT November 2019 Guts #3","algebra","numerical","True","4","1","2.5"
"In 2019, a team, including professor Andrew Sutherland of MIT, found three cubes of integers which sum to 42 :

$$
42=\left(-8053873881207597_{-}\right)^{3}+(80435758145817515)^{3}+(12602123297335631)^{3}
$$

One of the digits, labeled by an underscore, is missing. What is that digit?","4","Let the missing digit be $x$. Then, taking the equation modulo 10 , we see that $2 \equiv-x^{3}+5^{3}+1^{3}$. This simplifies to $x^{3} \equiv 4(\bmod 10)$, which gives a unique solut","HMMT November 2019 Guts #4","number_theory","numerical","True","4","4","2.5"
"A point $P$ is chosen uniformly at random inside a square of side length 2 . If $P_{1}, P_{2}, P_{3}$, and $P_{4}$ are the reflections of $P$ over each of the four sides of the square, find the expected value of the area of quadrilateral $P_{1} P_{2} P_{3} P_{4}$.","8","denote the square defined in the problem. We see that if $P_{1}$ is the reflection of $P$ over $\overline{A B}$, then the area of $P_{1} A B$ is the same as the area of $P A B$. Furthermore, if $P_{4}$ is the reflection of $P$ over $\overline{D A}, P_{1}, A$, and $P_{4}$ are collinear, as $A$ is the midpoint of $\overline{P_{1} P_{4}}$. Repeating this argument for the other points gives us that the desired area is
$\left[P_{1} A B\right]+\left[P_{2} B C\right]+\left[P_{3} C D\right]+\left[P_{4} D A\right]+[A B C D]=[P A B]+[P B C]+[P C D]+[P D A]+[A B C D]=2[A B C D]=8$.","HMMT November 2019 Guts #5","geometry","numerical","True","4","8","2.5"
"Compute the sum of all positive integers $n<2048$ such that $n$ has an even number of 1 's in its binary representation.","1048064","Note that the positive integers less than 2047 are those with at most 11 binary digits. Consider the contribution from any one of those digits. If we set that digit to 1 , then the remaining 10 digits can be set in $2^{9}=512$ ways so that the number of 1 's is even. Therefore the answer is

$$
512\left(2^{0}+\cdots+2^{10}\right)=512 \cdot 2047=1048064 .
$$
7. $[7]$ Let $S$ be the set of all nondegenerate triangles formed from the vertices of a regular octagon with side length 1 . Find the ratio of the largest area of any triangle in $S$ to the smallest area of any triangle in $S$.
Proposed by: Carl Schildkraut
Answer: $3+2 \sqrt{2}$
By a smoothing argument, the largest triangle is that where the sides span 3, 3, and 2 sides of the octagon respectively (i.e. it has angles $45^{\circ}, 67.5^{\circ}$, and $67.5^{\circ}$ ), and the smallest triangle is that formed by three adjacent vertices of the octagon. Scaling so that the circumradius of the octagon is 1 , our answer is
$$
\frac{\sin \left(90^{\circ}\right)+2 \sin \left(135^{\circ}\right)}{2 \sin \left(45^{\circ}\right)-\sin \left(90^{\circ}\right)}=\frac{1+\sqrt{2}}{\sqrt{2}-1}=3+2 \sqrt{2}
$$

where the numerator is derived from splitting the large triangle by the circumradii, and the denominator is derived from adding the areas of the two triangles formed by the circumradii, then subtracting the area not in the small triangle.","HMMT November 2019 Guts #6","number_theory","numerical","True","4","64","3.5"
"Let $S$ be the set of all nondegenerate triangles formed from the vertices of a regular octagon with side length 1. Find the ratio of the largest area of any triangle in $S$ to the smallest area of any triangle in $S$.","$3+2\sqrt{2}$","By a smoothing argument, the largest triangle is that where the sides span 3, 3, and 2 sides of the octagon respectively (i.e. it has angles $45^{\circ}, 67.5^{\circ}$, and $67.5^{\circ}$ ), and the smallest triangle is that formed by three adjacent vertices of the octagon. Scaling so that the circumradius of the octagon is 1 , our answer is
$$
\frac{\sin \left(90^{\circ}\right)+2 \sin \left(135^{\circ}\right)}{2 \sin \left(45^{\circ}\right)-\sin \left(90^{\circ}\right)}=\frac{1+\sqrt{2}}{\sqrt{2}-1}=3+2 \sqrt{2}
$$

where the numerator is derived from splitting the large triangle by the circumradii, and the denominator is derived from adding the areas of the two triangles formed by the circumradii, then subtracting the area not in the small triangle.","HMMT November 2019 Guts #7","geometry","numerical","True","5","7","3.0"
"There are 36 students at the Multiples Obfuscation Program, including a singleton, a pair of identical twins, a set of identical triplets, a set of identical quadruplets, and so on, up to a set of identical octuplets. Two students look the same if and only if they are from the same identical multiple. Nithya the teaching assistant encounters a random student in the morning and a random student in the afternoon (both chosen uniformly and independently), and the two look the same. What is the probability that they are actually the same person?","$\frac{3}{17}$","Let $X$ and $Y$ be the students Nithya encounters during the day. The number of pairs ( $X, Y$ ) for which $X$ and $Y$ look the same is $1 \cdot 1+2 \cdot 2+\ldots+8 \cdot 8=204$, and these pairs include all the ones in which $X$ and $Y$ are identical. As $X$ and $Y$ are chosen uniformly and independently, all 204 pairs are equally likely to be chosen, thus the problem reduces to choosing one of the 36 pairs in 204, the probability for whic","HMMT November 2019 Guts #8","counting","numerical","True","4","20","3"
"Let $p$ be a real number between 0 and 1 . Jocelin has a coin that lands heads with probability $p$ and tails with probability $1-p$; she also has a number written on a blackboard. Each minute, she flips the coin, and if it lands heads, she replaces the number $x$ on the blackboard with $3 x+1$; if it lands tails she replaces it with $x / 2$. Given that there are constants $a, b$ such that the expected value of the value written on the blackboard after $t$ minutes can be written as $a t+b$ for all positive integers $t$, compute $p$.","$\frac{1}{5}$","If the blackboard has the value $x$ written on it, then the expected value of the value after one flip is

$$
f(x)=p(3 x-1)+(1-p) x / 2 .
$$

Because this expression is linear, we can say the same even if we only know the blackboard's initial expected value is $x$. Therefore, if the blackboard value is $x_{0}$ at time 0 , then after $t$ minutes, the expected blackboard value is $f^{t}\left(x_{0}\right)$. We are given that $x_{0}, f\left(x_{0}\right), f^{2}\left(x_{0}\right), \ldots$ is an arithmetic sequence, so for there to be a constant difference, we must have $f(x)=x+c$ for some $c$.
This only occurs whe","HMMT November 2019 Guts #9","misc","numerical","True","4","6","3.5"
"Let $A B C D$ be a square of side length 5 , and let $E$ be the midpoint of side $A B$. Let $P$ and $Q$ be the feet of perpendiculars from $B$ and $D$ to $C E$, respectively, and let $R$ be the foot of the perpendicular from $A$ to $D Q$. The segments $C E, B P, D Q$, and $A R$ partition $A B C D$ into five regions. What is the median of the areas of these five regions?","5","We have $D Q \perp C E$ and $A R \perp D Q$, so $A R \| C E$. Thus, we can show that $\triangle A R D \cong \triangle D Q C \cong \triangle C P B$, so the median of the areas of the five regions is equal to the area of one of the three triangles listed above.
Now, note that $\triangle E B C \sim \triangle B P C$, so $\frac{B P}{B C}=\frac{E B}{E C}=\frac{1}{\sqrt{5}}$. This means that $B P=\sqrt{5}$, so $C P=2 \sqrt{5}$. Therefore, the area of $\triangle B P C$, the median area, is","HMMT November 2019 Guts #10","geometry","numerical","True","4","5","3.5"
"Let $a, b, c, d$ be real numbers such that

$$
\min (20 x+19,19 x+20)=(a x+b)-|c x+d|
$$
for all real numbers $x$. Find $a b+c d$.","380","In general, $\min (p, q)=\frac{p+q}{2}-\left|\frac{p-q}{2}\right|$. Letting $p=20 x+19$ and $q=19 x+20$ gives $a=b=19.5$ and $c=d= \pm 0.5$. Then the answer is $","HMMT November 2019 Guts #11","algebra","numerical","True","5","380","4"
"Four players stand at distinct vertices of a square. They each independently choose a vertex of the square (which might be the vertex they are standing on). Then, they each, at the same time, begin running in a straight line to their chosen vertex at 10 mph , stopping when they reach the vertex. If at any time two players, whether moving or not, occupy the same space (whether a vertex or a point inside the square), they collide and fall over. How many different ways are there for the players to choose vertices to go to so that none of them fall over?","11","Observe that no two players can choose the same vertex, and no two players can choose each others vertices. Thus, if two players choose their own vertices, then the remaining two also must choose their
own vertices (because they cant choose each others vertices), thus all 4 players must choose their own vertices. There is 1 way to choose the vertices in this case.
Name the players top left, top right, bottom left, and bottom right, based on their initial positions. Assume exactly one player (without loss of generality, say the top left) chooses their own vertex. Then, the remaining 3 players have to form a triangle (recall no two player can choose each others vertices). There are 4 ways to choose which player chooses their own vertex, and 2 ways to choose which direction the players move in the triangle, thus there are 8 ways to choose the vertices in this case.
Lastly, assume no one chooses their own vertex. We will first prove that no player can choose the vertex across them. Assume the contrary, without loss of generality, let the top left player chooses the bottom right vertex. Then, neither of the bottom left and the top right players can choose the others vertex, because they would meet the top left player at the center of the square. As they cant choose bottom right (it is chosen by the top left player), and cant choose their own vertex (by assumption), they both have to choose the top left vertex, which is an immediate contradiction.
Now, the top left player has to choose either the top right vertex or the bottom left. Without loss of generality, let the player choose the top right vertex. Then, the top right player has to choose the bottom right vertex (as they can neither go across nor back to top left), the bottom right player has to choose the bottom left vertex, and the bottom left player has to choose the top left vertex, and all the choices are determined by the first players choice. There are 2 ways to choose where the first player goes, thus there are 2 ways to choose the vertices in this case.
In total, there are","HMMT November 2019 Guts #12","counting","numerical","True","4","11","3.5"
"In $\triangle A B C$, the incircle centered at $I$ touches sides $A B$ and $B C$ at $X$ and $Y$, respectively. Additionally, the area of quadrilateral $B X I Y$ is $\frac{2}{5}$ of the area of $A B C$. Let $p$ be the smallest possible perimeter of a $\triangle A B C$ that meets these conditions and has integer side lengths. Find the smallest possible area of such a triangle with perimeter $p$.","$2\sqrt{5}$","Note that for both values, the coefficient of $x$ is also between -7 and 7 , so there are 2 tricky teeny polynomials.
2. [5] You are trying to cross a 6 foot wide river. You can jump at most 4 feet, but you have one stone you can throw into the river; after it is placed, you may jump to that stone and, if possible, from there to the other side of the river. However, you are not very accurate and the stone ends up landing uniformly at random in the river. What is the probability that you can get across?
Proposed by: Carl Schildkraut and Milan Haiman
Answer: $\frac{1}{3}$
To be able to cross, the stone must land between 2 and 4 feet from the river bank you are standing on. Therefore the probability is $\frac{2}{6}=\frac{1}{3}$.
3. [5] For how many positive integers $a$ does the polynomial

$$
x^{2}-a x+a
$$
have an integer root?
Proposed by: Krit Boonsiriseth
Answer: 1
Let $r, s$ be the roots of $x^{2}-a x+a=0$. By Vieta's, we have $r+s=r s=a$. Note that if one root is an integer, then both roots must be integers, as they sum to an integer $a$. Then,
$$
r s-(r+s)+1=1 \Longrightarrow(r-1)(s-1)=1 \text {. }
$$

Because we require $r, s$ to be both integers, we have $r-1=s-1= \pm 1$, which yields $r=s=0,2$. If $r=0$ or $s=0$, then $a=0$, but we want $a$ to be a positive integer. Therefore, our only possibility is when $r=s=2$, which yields $a=4$, so there is exactly 1 value of $a$ (namely, $a=4$ ) such that $x^{2}-a x-a$ has an integer root.
4. [6] In 2019, a team, including professor Andrew Sutherland of MIT, found three cubes of integers which sum to 42 :

$$
42=\left(-8053873881207597_{-}\right)^{3}+(80435758145817515)^{3}+(12602123297335631)^{3}
$$

One of the digits, labeled by an underscore, is missing. What is that digit?
Proposed by: Andrew Gu
Answer: 4
Let the missing digit be $x$. Then, taking the equation modulo 10 , we see that $2 \equiv-x^{3}+5^{3}+1^{3}$. This simplifies to $x^{3} \equiv 4(\bmod 10)$, which gives a unique solution of $x=4$.
5. [6] A point $P$ is chosen uniformly at random inside a square of side length 2 . If $P_{1}, P_{2}, P_{3}$, and $P_{4}$ are the reflections of $P$ over each of the four sides of the square, find the expected value of the area of quadrilateral $P_{1} P_{2} P_{3} P_{4}$.
Proposed by: Carl Schildkraut
Answer: 8
Let $A B C D$ denote the square defined in the problem. We see that if $P_{1}$ is the reflection of $P$ over $\overline{A B}$, then the area of $P_{1} A B$ is the same as the area of $P A B$. Furthermore, if $P_{4}$ is the reflection of $P$ over $\overline{D A}, P_{1}, A$, and $P_{4}$ are collinear, as $A$ is the midpoint of $\overline{P_{1} P_{4}}$. Repeating this argument for the other points gives us that the desired area is
$\left[P_{1} A B\right]+\left[P_{2} B C\right]+\left[P_{3} C D\right]+\left[P_{4} D A\right]+[A B C D]=[P A B]+[P B C]+[P C D]+[P D A]+[A B C D]=2[A B C D]=8$.
6. [6] Compute the sum of all positive integers $n<2048$ such that $n$ has an even number of 1 's in its binary representation.
Proposed by: Milan Haiman
Answer: 1048064
Note that the positive integers less than 2047 are those with at most 11 binary digits. Consider the contribution from any one of those digits. If we set that digit to 1 , then the remaining 10 digits can be set in $2^{9}=512$ ways so that the number of 1 's is even. Therefore the answer is

$$
512\left(2^{0}+\cdots+2^{10}\right)=512 \cdot 2047=1048064 .
$$
7. $[7]$ Let $S$ be the set of all nondegenerate triangles formed from the vertices of a regular octagon with side length 1 . Find the ratio of the largest area of any triangle in $S$ to the smallest area of any triangle in $S$.
Proposed by: Carl Schildkraut
Answer: $3+2 \sqrt{2}$
By a smoothing argument, the largest triangle is that where the sides span 3, 3, and 2 sides of the octagon respectively (i.e. it has angles $45^{\circ}, 67.5^{\circ}$, and $67.5^{\circ}$ ), and the smallest triangle is that formed by three adjacent vertices of the octagon. Scaling so that the circumradius of the octagon is 1 , our answer is
$$
\frac{\sin \left(90^{\circ}\right)+2 \sin \left(135^{\circ}\right)}{2 \sin \left(45^{\circ}\right)-\sin \left(90^{\circ}\right)}=\frac{1+\sqrt{2}}{\sqrt{2}-1}=3+2 \sqrt{2}
$$

where the numerator is derived from splitting the large triangle by the circumradii, and the denominator is derived from adding the areas of the two triangles formed by the circumradii, then subtracting the area not in the small triangle.
8. [7] There are 36 students at the Multiples Obfuscation Program, including a singleton, a pair of identical twins, a set of identical triplets, a set of identical quadruplets, and so on, up to a set of identical octuplets. Two students look the same if and only if they are from the same identical multiple. Nithya the teaching assistant encounters a random student in the morning and a random student in the afternoon (both chosen uniformly and independently), and the two look the same. What is the probability that they are actually the same person?
Proposed by: Yuan Yao
Answer: $\frac{3}{17}$
Let $X$ and $Y$ be the students Nithya encounters during the day. The number of pairs ( $X, Y$ ) for which $X$ and $Y$ look the same is $1 \cdot 1+2 \cdot 2+\ldots+8 \cdot 8=204$, and these pairs include all the ones in which $X$ and $Y$ are identical. As $X$ and $Y$ are chosen uniformly and independently, all 204 pairs are equally likely to be chosen, thus the problem reduces to choosing one of the 36 pairs in 204, the probability for which is $\frac{3}{17}$.
9. [7] Let $p$ be a real number between 0 and 1 . Jocelin has a coin that lands heads with probability $p$ and tails with probability $1-p$; she also has a number written on a blackboard. Each minute, she flips the coin, and if it lands heads, she replaces the number $x$ on the blackboard with $3 x+1$; if it lands tails she replaces it with $x / 2$. Given that there are constants $a, b$ such that the expected value of the value written on the blackboard after $t$ minutes can be written as $a t+b$ for all positive integers $t$, compute $p$.
Proposed by: Carl Schildkraut
Answer: $\frac{1}{5}$
If the blackboard has the value $x$ written on it, then the expected value of the value after one flip is

$$
f(x)=p(3 x-1)+(1-p) x / 2 .
$$

Because this expression is linear, we can say the same even if we only know the blackboard's initial expected value is $x$. Therefore, if the blackboard value is $x_{0}$ at time 0 , then after $t$ minutes, the expected blackboard value is $f^{t}\left(x_{0}\right)$. We are given that $x_{0}, f\left(x_{0}\right), f^{2}\left(x_{0}\right), \ldots$ is an arithmetic sequence, so for there to be a constant difference, we must have $f(x)=x+c$ for some $c$.
This only occurs when $3 p+(1-p) / 2=1$, so $p=1 / 5$.
10. [8] Let $A B C D$ be a square of side length 5 , and let $E$ be the midpoint of side $A B$. Let $P$ and $Q$ be the feet of perpendiculars from $B$ and $D$ to $C E$, respectively, and let $R$ be the foot of the perpendicular from $A$ to $D Q$. The segments $C E, B P, D Q$, and $A R$ partition $A B C D$ into five regions. What is the median of the areas of these five regions?

## Proposed by: Carl Schildkraut

Answer: 5
We have $D Q \perp C E$ and $A R \perp D Q$, so $A R \| C E$. Thus, we can show that $\triangle A R D \cong \triangle D Q C \cong \triangle C P B$, so the median of the areas of the five regions is equal to the area of one of the three triangles listed above.
Now, note that $\triangle E B C \sim \triangle B P C$, so $\frac{B P}{B C}=\frac{E B}{E C}=\frac{1}{\sqrt{5}}$. This means that $B P=\sqrt{5}$, so $C P=2 \sqrt{5}$. Therefore, the area of $\triangle B P C$, the median area, is 5 .
11. [8] Let $a, b, c, d$ be real numbers such that

$$
\min (20 x+19,19 x+20)=(a x+b)-|c x+d|
$$
for all real numbers $x$. Find $a b+c d$.
Proposed by: Yuan Yao
Answer: 380
In general, $\min (p, q)=\frac{p+q}{2}-\left|\frac{p-q}{2}\right|$. Letting $p=20 x+19$ and $q=19 x+20$ gives $a=b=19.5$ and $c=d= \pm 0.5$. Then the answer is $19.5^{2}-0.5^{2}=19 \cdot 20=380$.
12. [8] Four players stand at distinct vertices of a square. They each independently choose a vertex of the square (which might be the vertex they are standing on). Then, they each, at the same time, begin running in a straight line to their chosen vertex at 10 mph , stopping when they reach the vertex. If at any time two players, whether moving or not, occupy the same space (whether a vertex or a point inside the square), they collide and fall over. How many different ways are there for the players to choose vertices to go to so that none of them fall over?

## Proposed by: Carl Schildkraut

Answer: 11
Observe that no two players can choose the same vertex, and no two players can choose each others vertices. Thus, if two players choose their own vertices, then the remaining two also must choose their
own vertices (because they cant choose each others vertices), thus all 4 players must choose their own vertices. There is 1 way to choose the vertices in this case.
Name the players top left, top right, bottom left, and bottom right, based on their initial positions. Assume exactly one player (without loss of generality, say the top left) chooses their own vertex. Then, the remaining 3 players have to form a triangle (recall no two player can choose each others vertices). There are 4 ways to choose which player chooses their own vertex, and 2 ways to choose which direction the players move in the triangle, thus there are 8 ways to choose the vertices in this case.
Lastly, assume no one chooses their own vertex. We will first prove that no player can choose the vertex across them. Assume the contrary, without loss of generality, let the top left player chooses the bottom right vertex. Then, neither of the bottom left and the top right players can choose the others vertex, because they would meet the top left player at the center of the square. As they cant choose bottom right (it is chosen by the top left player), and cant choose their own vertex (by assumption), they both have to choose the top left vertex, which is an immediate contradiction.
Now, the top left player has to choose either the top right vertex or the bottom left. Without loss of generality, let the player choose the top right vertex. Then, the top right player has to choose the bottom right vertex (as they can neither go across nor back to top left), the bottom right player has to choose the bottom left vertex, and the bottom left player has to choose the top left vertex, and all the choices are determined by the first players choice. There are 2 ways to choose where the first player goes, thus there are 2 ways to choose the vertices in this case.
In total, there are $1+8+2=11$ ways to choose the vertices.
13. [9] In $\triangle A B C$, the incircle centered at $I$ touches sides $A B$ and $B C$ at $X$ and $Y$, respectively. Additionally, the area of quadrilateral $B X I Y$ is $\frac{2}{5}$ of the area of $A B C$. Let $p$ be the smallest possible perimeter of a $\triangle A B C$ that meets these conditions and has integer side lengths. Find the smallest possible area of such a triangle with perimeter $p$.

## Proposed by: Joey Heerens

Answer: $2 \sqrt{5}$
Note that $\angle B X I=\angle B Y I=90$, which means that $A B$ and $B C$ are tangent to the incircle of $A B C$ at $X$ and $Y$ respectively. So $B X=B Y=\frac{A B+B C-A C}{2}$, which means that $\frac{2}{5}=\frac{[B X I Y]}{[A B C]}=\frac{A B+B C-A C}{A B+B C+A C}$. The smallest perimeter is achieved when $A B=A C=3$ and $B C=4$. The area of this tri","HMMT November 2019 Guts #13","geometry","numerical","True","4","7","4.0"
"Compute the sum of all positive integers $n<2048$ such that $n$ has an even number of 1 's in its binary representation.

# HMMT November 2019, November 9, 2019 - GUTS ROUND 

Organization $\_\_\_\_$ Team $\_\_\_\_$ Team ID\# $\_\_\_\_$
7. $[7]$ Let $S$ be the set of all nondegenerate triangles formed from the vertices of a regular octagon with side length 1. Find the ratio of the largest area of any triangle in $S$ to the smallest area of any triangle in $S$.
8. [7] There are 36 students at the Multiples Obfuscation Program, including a singleton, a pair of identical twins, a set of identical triplets, a set of identical quadruplets, and so on, up to a set of identical octuplets. Two students look the same if and only if they are from the same identical multiple. Nithya the teaching assistant encounters a random student in the morning and a random student in the afternoon (both chosen uniformly and independently), and the two look the same. What is the probability that they are actually the same person?
9. [7] Let $p$ be a real number between 0 and 1 . Jocelin has a coin that lands heads with probability $p$ and tails with probability $1-p$; she also has a number written on a blackboard. Each minute, she flips the coin, and if it lands heads, she replaces the number $x$ on the blackboard with $3 x+1$; if it lands tails she replaces it with $x / 2$. Given that there are constants $a, b$ such that the expected value of the value written on the blackboard after $t$ minutes can be written as $a t+b$ for all positive integers $t$, compute $p$.

## HMMT November 2019, November 9, 2019 - GUTS ROUND

Organization $\_\_\_\_$ Team $\_\_\_\_$ Team ID\# $\_\_\_\_$
10. [8] Let $A B C D$ be a square of side length 5 , and let $E$ be the midpoint of side $A B$. Let $P$ and $Q$ be the feet of perpendiculars from $B$ and $D$ to $C E$, respectively, and let $R$ be the foot of the perpendicular from $A$ to $D Q$. The segments $C E, B P, D Q$, and $A R$ partition $A B C D$ into five regions. What is the median of the areas of these five regions?
11. [8] Let $a, b, c, d$ be real numbers such that

$$
\min (20 x+19,19 x+20)=(a x+b)-|c x+d|
$$
for all real numbers $x$. Find $a b+c d$.
12. [8] Four players stand at distinct vertices of a square. They each independently choose a vertex of the square (which might be the vertex they are standing on). Then, they each, at the same time, begin running in a straight line to their chosen vertex at 10 mph , stopping when they reach the vertex. If at any time two players, whether moving or not, occupy the same space (whether a vertex or a point inside the square), they collide and fall over. How many different ways are there for the players to choose vertices to go to so that none of them fall over?

## HMMT November 2019, November 9, 2019 - GUTS ROUND

Organization $\_\_\_\_$ Team $\_\_\_\_$ Team ID\# $\_\_\_\_$
13. [9] In $\triangle A B C$, the incircle centered at $I$ touches sides $A B$ and $B C$ at $X$ and $Y$, respectively. Additionally, the area of quadrilateral $B X I Y$ is $\frac{2}{5}$ of the area of $A B C$. Let $p$ be the smallest possible perimeter of a $\triangle A B C$ that meets these conditions and has integer side lengths. Find the smallest possible area of such a triangle with perimeter $p$.
14. [9] Compute the sum of all positive integers $n$ for which

$$
9 \sqrt{n}+4 \sqrt{n+2}-3 \sqrt{n+16}
$$
is an integer.","18","For the expression to be an integer at least one of $n$ and $n+2$ must be a perfect square. We also note that at most one of $n$ and $n+2$ can be a square, so exactly one of them is a square.
Case 1: $n$ is a perfect square. By our previous observation, it must be that $4 \sqrt{n+2}=3 \sqrt{n+16} \Rightarrow n=16$.
Case 2: $n+2$ is a perfect square. By our previous observation, it must be that $9 \sqrt{n}=3 \sqrt{n+16} \Rightarrow n=2$.
Consequently, the an","HMMT November 2019 Guts #14","algebra","numerical","True","4","341","4"
"Let $a, b, c$ be positive integers such that
$$
\frac{a}{77}+\frac{b}{91}+\frac{c}{143}=1
$$

What is the smallest possible value of $a+b+c$ ?","79","We need $13 a+11 b+7 c=1001$, which implies $13(a+b+c-77)=2 b+6 c$. Then $2 b+6 c$ must be divisible by both 2 and 13 , so it is minimized at 26 (e.g. with $b=10, c=1$ ). This gives $a+b+c=7","HMMT November 2019 Guts #15","number_theory","numerical","True","5","79","3.5"
"Equilateral $\triangle A B C$ has side length 6 . Let $\omega$ be the circle through $A$ and $B$ such that $C A$ and $C B$ are both tangent to $\omega$. A point $D$ on $\omega$ satisfies $C D=4$. Let $E$ be the intersection of line $C D$ with segment $A B$. What is the length of segment $D E$ ?","$\frac{20}{13}$","Let $F$ be the second intersection of line $C D$ with $\omega$. By power of a point, we have $C F=9$, so $D F=5$. This means that $\frac{[A D B]}{[A F B]}=\frac{D E}{E F}=\frac{D E}{5-D E}$. Now, note that triangle $C A D$ is similar to triangle $C F A$, so $\frac{F A}{A D}=\frac{C A}{C D}=\frac{3}{2}$. Likewise, $\frac{F B}{B D}=\frac{C B}{C D}=\frac{3}{2}$. Also, note that $\angle A D B=180-\angle D A B-\angle D B A= 180-\angle C A B=120$, and $\angle A F B=180-\angle A D B=60$. This means that $\frac{[A D B]}{[A F B]}=\frac{A D \cdot B D \cdot \sin 120}{F A \cdot F B \cdot \sin 60}=\frac{4}{9}$. Therefore, we have that $\frac{D E}{5-D E}=\frac{4}{9}$. Solving yields $D E","HMMT November 2019 Guts #16","geometry","numerical","True","4","53","3.5"
"Kelvin the frog lives in a pond with an infinite number of lily pads, numbered $0,1,2,3$, and so forth. Kelvin starts on lily pad 0 and jumps from pad to pad in the following manner: when on lily pad $i$, he will jump to lily pad $(i+k)$ with probability $\frac{1}{2^{k}}$ for $k>0$. What is the probability that Kelvin lands on lily pad 2019 at some point in his journey?","$\frac{1}{2}$","Suppose we combine all of the lily pads with numbers greater than 2019 into one lily pad labeled $\infty$. Also, let Kelvin stop once he reaches one of these lily pads.
Now at every leap, Kelvin has an equal chance of landing on 2019 as landing on $\infty$. Furthermore, Kelvin is guaranteed to reach 2019 or $\infty$ within 2020 leaps. Therefore the chance of landing on 2019 is the same as missing it, so our answer is jus","HMMT November 2019 Guts #17","counting","numerical","True","4","2","5.0"
"The polynomial $x^{3}-3 x^{2}+1$ has three real roots $r_{1}, r_{2}$, and $r_{3}$. Compute

$$
\sqrt[3]{3 r_{1}-2}+\sqrt[3]{3 r_{2}-2}+\sqrt[3]{3 r_{3}-2}","0","Let $r$ be a root of the given polynomial. Then

$$
r^{3}-3 r^{2}+1=0 \Longrightarrow r^{3}-3 r^{2}+3 r-1=3 r-2 \Longrightarrow r-1=\sqrt[3]{3 r-2} .
$$

Now by Vieta the des","HMMT November 2019 Guts #18","algebra","numerical","True","5","0","5"
"Let $A B C$ be a triangle with $A B=5, B C=8, C A=11$. The incircle $\omega$ and $A$-excircle ${ }^{1} \Gamma$ are centered at $I_{1}$ and $I_{2}$, respectively, and are tangent to $B C$ at $D_{1}$ and $D_{2}$, respectively. Find the ratio of the area of $\triangle A I_{1} D_{1}$ to the area of $\triangle A I_{2} D_{2}$.","","","HMMT November 2019 Guts #19","geometry","numerical","True","4","11","5.5"
"Consider an equilateral triangle $T$ of side length 12. Matthew cuts $T$ into $N$ smaller equilateral triangles, each of which has side length 1,3 , or 8 . Compute the minimum possible value of $N$.","16","Matthew can cut $T$ into 16 equilateral triangles with side length 3 . If he instead included a triangle of side 8 , then let him include $a$ triangles of side length 3 . He must include $12^{2}-8^{2}-3^{2} a=80-9 a$ triangles of side length 1 . Thus $a \leq 8$, giving that he includes at least
$$
(80-9 a)+(a)+1=81-8 a \geq 17
$$

total triangles, so","HMMT November 2019 Guts #20","geometry","numerical","True","5","16","6"
